Nom_de_Domaine,have_IP,have_at,longueur,profondeur,nb_de_caractere_spec,redirection,http_ds_domaine,red_URL,whois,periode_de_vie,age_url,iframe,forwarding,label
latimes,0,0,0,0,1,0,0,0,0,0,0,0,1,0
steampowered,0,0,0,0,1,0,0,0,0,0,0,0,1,0
xinhuanet,0,0,0,0,1,0,0,1,0,0,0,1,1,0
windows,0,0,0,0,1,0,0,0,0,0,0,1,1,0
instructables,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ggpht,0,0,0,0,1,0,0,1,0,0,0,1,1,0
wired,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ouest-france,0,0,0,0,2,0,0,0,0,0,0,1,1,0
privacyshield,0,0,0,0,1,0,0,0,0,1,1,1,1,0
mit,0,0,0,0,1,0,0,0,0,1,1,0,1,0
sciencedirect,0,0,0,0,1,0,0,1,0,0,0,0,0,0
rambler,0,0,0,0,1,0,0,0,0,0,0,0,1,0
stanford,0,0,0,0,1,0,0,0,0,1,1,0,1,0
nginx,0,0,0,0,1,0,0,0,0,0,0,0,0,0
google,0,0,0,0,1,0,0,0,0,0,0,0,4,0
wikihow,0,0,0,0,1,0,0,0,0,0,0,0,2,0
leparisien,0,0,0,0,1,0,0,0,0,1,0,0,1,0
google,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wikipedia,0,0,0,0,1,0,0,0,0,0,0,0,1,0
engadget,0,0,0,0,1,0,0,1,0,0,0,0,1,0
canada,0,0,0,0,1,0,0,0,0,0,0,0,1,0
nationalgeographic,0,0,0,0,1,0,0,0,0,0,0,0,1,0
nginx,0,0,0,0,1,0,0,1,0,0,0,0,1,0
eventbrite,0,0,0,0,1,0,0,0,0,0,0,0,1,0
express,0,0,0,0,1,0,0,0,0,0,0,0,1,0
aol,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ovh,0,0,0,0,1,0,0,0,0,0,0,0,2,0
disney,0,0,0,0,1,0,0,0,0,0,0,0,1,0
offset,0,0,0,0,1,0,0,1,0,0,0,0,1,0
playstation,0,0,0,0,1,0,0,0,0,0,0,0,2,0
bloglovin,0,0,0,0,1,0,0,0,0,0,0,0,1,0
urbandictionary,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ted,0,0,0,0,1,0,0,0,0,0,0,0,1,0
smh,0,0,0,0,1,0,0,0,0,1,1,0,1,0
discord,0,0,0,0,1,0,0,0,0,0,0,0,0,0
plos,0,0,0,0,1,0,0,0,0,0,0,0,0,0
vkontakte,0,0,0,0,1,0,0,0,0,0,0,0,3,0
apache,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dynadot,0,0,0,0,1,0,0,1,0,0,0,0,1,0
google,0,0,0,0,1,0,0,0,0,1,0,0,1,0
cointernet,0,0,0,0,1,0,0,1,0,1,0,0,1,0
nydailynews,0,0,0,0,1,0,0,0,0,0,0,1,1,0
insider,0,0,0,0,1,0,0,0,0,0,0,0,1,0
skype,0,0,0,0,1,0,0,0,0,0,0,0,1,0
go,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kickstarter,0,0,0,0,1,0,0,0,0,0,0,0,0,0
surveymonkey,0,0,0,0,1,0,0,0,0,0,0,0,1,0
linktr,0,0,0,0,1,0,0,0,0,1,1,0,0,0
wikipedia,0,0,0,0,1,0,0,0,0,0,0,0,1,0
npr,0,0,0,0,1,0,0,0,0,0,0,0,1,0
berkeley,0,0,0,0,1,0,0,0,0,1,1,0,1,0
sputniknews,0,0,0,0,1,0,0,0,0,0,1,1,1,0
google,0,0,0,0,1,0,0,0,0,0,0,0,6,0
ovhcloud,0,0,0,0,1,0,0,0,0,1,1,0,2,0
wikipedia,0,0,0,0,1,0,0,0,0,0,0,0,1,0
webnode,0,0,0,0,1,0,0,0,0,1,1,0,2,0
psychologytoday,0,0,0,0,1,0,0,0,0,0,0,0,0,0
outlook,0,0,0,0,1,0,0,0,0,0,0,0,2,0
livejournal,0,0,0,0,1,0,0,0,0,0,0,0,0,0
elmundo,0,0,0,0,1,0,0,0,0,1,1,0,1,0
yahoo,0,0,0,0,1,0,0,0,0,1,1,0,1,0
photobucket,0,0,0,0,1,0,0,1,0,0,0,0,0,0
britannica,0,0,0,0,1,0,0,0,0,0,0,0,1,0
buzzfeed,0,0,0,0,1,0,0,0,0,0,0,0,1,0
techcrunch,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pbs,0,0,0,0,1,0,0,0,0,0,0,0,1,0
zoom,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sciencemag,0,0,0,0,1,0,0,0,0,0,0,0,4,0
zippyshare,0,0,0,0,1,0,0,0,0,0,0,0,0,0
akamaihd,0,0,0,0,1,0,0,0,0,0,0,1,1,0
freepik,0,0,0,0,1,0,0,0,0,1,1,0,0,0
blogger,0,0,0,0,1,0,0,0,0,0,0,0,0,0
secureserver,0,0,0,0,1,0,0,0,0,0,0,0,1,0
hp,0,0,0,0,1,0,0,0,0,0,0,0,4,0
ietf,0,0,0,0,1,0,0,0,0,0,0,0,1,0
tripadvisor,0,0,0,0,1,0,0,0,0,0,0,1,1,0
whitehouse,0,0,0,0,1,0,0,0,0,1,1,0,1,0
oracle,0,0,0,0,1,0,0,0,0,0,0,1,1,0
sakura,0,0,0,0,1,0,0,0,0,1,1,0,2,0
oup,0,0,0,0,1,0,0,0,0,0,0,0,3,0
target,0,0,0,0,1,0,0,1,0,0,0,0,1,0
unesco,0,0,0,0,1,0,0,0,0,0,0,1,1,0
android,0,0,0,0,1,0,0,0,0,0,0,0,1,0
akamaized,0,0,0,0,1,0,0,0,0,1,1,1,1,0
wiley,0,0,0,0,1,0,0,0,0,0,0,0,1,0
standard,0,0,0,0,1,0,0,0,0,0,0,0,1,0
nbcnews,0,0,0,0,1,0,0,0,0,0,0,0,1,0
yahoo,0,0,0,0,1,0,0,0,0,0,0,0,0,0
canalblog,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wiktionary,0,0,0,0,1,0,0,0,0,0,0,0,1,0
deezer,0,0,0,0,1,0,0,0,0,0,0,0,2,0
gooyaabitemplates,0,0,0,0,1,0,0,0,0,1,1,0,0,0
e-monsite,0,0,0,0,2,0,0,0,0,0,0,0,1,0
detik,0,0,0,0,1,0,0,0,0,0,0,0,1,0
abc,0,0,0,0,1,0,0,0,0,1,1,0,0,0
alexa,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ft,0,0,0,0,1,0,0,1,0,0,0,0,1,0
wikipedia,0,0,0,0,1,0,0,0,0,0,0,0,1,0
bandcamp,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ssl-images-amazon,0,0,0,0,3,0,0,0,0,0,0,1,1,0
cpanel,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ca,0,0,0,0,1,0,0,0,0,1,1,0,1,0
arxiv,0,0,0,0,1,0,0,0,0,0,0,0,0,0
walmart,0,0,0,0,1,0,0,1,0,0,0,0,1,0
rtve,0,0,0,0,1,0,0,0,0,1,1,0,1,0
abc,0,0,0,0,1,0,0,0,0,1,1,0,1,0
gofundme,0,0,0,0,1,0,0,0,0,1,1,0,1,0
alibaba,0,0,0,0,1,0,0,0,0,0,0,0,1,0
cornell,0,0,0,0,1,0,0,0,0,1,1,0,1,0
fb,0,0,0,0,1,0,0,0,0,0,0,0,1,0
zendesk,0,0,0,0,1,0,0,0,0,0,0,0,1,0
hubspot,0,0,0,0,1,0,0,1,0,0,0,0,1,0
dreamstime,0,0,0,0,1,0,0,0,0,0,0,0,1,0
cnil,0,0,0,0,1,0,0,0,0,0,0,0,1,0
rt,0,0,0,0,1,0,0,1,0,0,0,1,1,0
google,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mega,0,0,0,0,1,0,0,0,0,1,1,0,0,0
newyorker,0,0,0,0,1,0,0,0,0,0,0,0,1,0
www,0,0,0,0,1,0,0,0,0,1,1,0,1,0
sfgate,0,0,0,0,1,0,0,0,0,0,0,0,1,0
qq,0,0,0,0,1,0,0,0,0,0,0,0,1,0
usnews,0,0,0,0,1,0,0,0,0,0,0,1,1,0
clickbank,0,0,0,0,1,0,0,0,0,0,0,1,1,0
